<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.12	01:00:00	1847.51	1847.96	1845.60	1847.66	221	0	9
2021.01.12	01:15:00	1847.66	1848.19	1846.10	1846.74	420	0	14
2021.01.12	01:30:00	1846.70	1848.55	1846.54	1848.19	507	0	5
2021.01.12	01:45:00	1848.19	1848.51	1846.48	1847.22	539	0	5
2021.01.12	02:00:00	1847.19	1848.18	1845.22	1845.22	570	0	6
2021.01.12	02:15:00	1845.22	1846.24	1844.14	1844.80	721	0	5
2021.01.12	02:30:00	1844.78	1846.24	1843.77	1845.53	563	0	5
2021.01.12	02:45:00	1845.83	1847.07	1844.69	1845.00	631	0	5
2021.01.12	03:00:00	1845.00	1847.08	1841.27	1844.89	1705	0	5
2021.01.12	03:15:00	1844.93	1845.27	1841.43	1843.21	1310	0	5
2021.01.12	03:30:00	1843.30	1845.01	1842.48	1844.24	1406	0	5
2021.01.12	03:45:00	1844.24	1846.36	1843.30	1845.91	1255	0	5
2021.01.12	04:00:00	1845.94	1846.61	1845.35	1845.91	970	0	5
2021.01.12	04:15:00	1845.94	1848.59	1845.56	1848.50	769	0	6
2021.01.12	04:30:00	1848.50	1849.17	1846.48	1846.48	1126	0	5
2021.01.12	04:45:00	1846.46	1847.66	1845.20	1847.39	899	0	5
2021.01.12	05:00:00	1847.42	1849.02	1847.25	1848.34	661	0	5
2021.01.12	05:15:00	1848.32	1850.63	1848.20	1850.44	716	0	5
2021.01.12	05:30:00	1850.42	1852.01	1849.89	1850.89	692	0	5
2021.01.12	05:45:00	1850.89	1851.03	1849.40	1849.82	378	0	5
2021.01.12	06:00:00	1849.82	1851.26	1849.40	1851.21	355	0	6
2021.01.12	06:15:00	1851.21	1851.66	1850.01	1850.42	436	0	5
2021.01.12	06:30:00	1850.42	1850.48	1848.73	1849.14	609	0	5
2021.01.12	06:45:00	1849.11	1850.94	1848.97	1850.72	381	0	6
2021.01.12	07:00:00	1850.73	1851.92	1849.49	1851.30	656	0	5
2021.01.12	07:15:00	1851.27	1852.23	1850.53	1851.83	601	0	5
2021.01.12	07:30:00	1851.83	1857.75	1851.62	1857.62	1819	0	5
2021.01.12	07:45:00	1857.81	1858.25	1856.30	1858.15	1345	0	5
2021.01.12	08:00:00	1858.15	1858.15	1855.97	1856.11	1078	0	5
2021.01.12	08:15:00	1856.16	1857.42	1855.31	1856.12	744	0	8
2021.01.12	08:30:00	1856.12	1859.16	1855.93	1859.03	837	0	5
2021.01.12	08:45:00	1859.05	1860.61	1858.67	1860.07	1093	0	5
2021.01.12	09:00:00	1859.98	1860.76	1858.83	1858.86	1022	0	5
2021.01.12	09:15:00	1859.04	1860.93	1858.91	1859.75	917	0	5
2021.01.12	09:30:00	1859.74	1861.82	1859.15	1859.96	1208	0	5
2021.01.12	09:45:00	1860.01	1860.24	1857.78	1859.48	1064	0	5
2021.01.12	10:00:00	1859.47	1861.78	1858.57	1858.61	1625	0	5
2021.01.12	10:15:00	1858.59	1858.92	1855.03	1857.79	1188	0	5
2021.01.12	10:30:00	1857.79	1858.11	1854.66	1855.20	1313	0	5
2021.01.12	10:45:00	1855.20	1856.24	1853.77	1855.72	1092	0	5
2021.01.12	11:00:00	1855.72	1857.37	1855.17	1856.49	831	0	6
2021.01.12	11:15:00	1856.49	1859.45	1855.74	1859.10	1482	0	5
2021.01.12	11:30:00	1859.09	1859.46	1857.86	1859.11	770	0	5
2021.01.12	11:45:00	1859.10	1863.42	1858.61	1862.73	1446	0	5
2021.01.12	12:00:00	1862.73	1863.84	1861.46	1863.21	972	0	6
2021.01.12	12:15:00	1863.21	1863.31	1861.33	1861.76	744	0	5
2021.01.12	12:30:00	1861.76	1862.14	1860.31	1861.42	747	0	5
2021.01.12	12:45:00	1861.42	1861.42	1859.31	1859.89	747	0	5
2021.01.12	13:00:00	1859.89	1861.57	1859.58	1860.14	853	0	5
2021.01.12	13:15:00	1860.10	1861.36	1859.98	1860.92	469	0	5
2021.01.12	13:30:00	1860.92	1862.76	1860.37	1861.15	1003	0	5
