<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.01	00:00:00	43432.80	43504.00	43378.10	43451.20	2362	0	10
2021.10.01	00:20:00	43451.20	43629.90	43417.50	43610.60	1384	0	10
2021.10.01	00:40:00	43610.60	43792.10	43555.50	43757.50	1696	0	10
2021.10.01	01:00:00	43757.50	43796.90	43650.00	43736.70	1595	0	10
2021.10.01	01:20:00	43736.70	43906.60	43685.00	43720.10	2264	0	10
2021.10.01	01:40:00	43720.10	43776.50	43718.50	43745.40	1484	0	10
2021.10.01	02:00:00	43745.50	43814.70	43619.70	43649.90	1339	0	10
2021.10.01	02:20:00	43649.90	43885.00	43629.20	43848.70	1368	0	10
2021.10.01	02:40:00	43848.70	43889.90	43727.50	43798.70	1600	0	10
2021.10.01	03:00:00	43798.70	43993.80	43712.10	43794.80	3194	0	10
2021.10.01	03:20:00	43794.80	44048.70	43794.80	43909.10	3530	0	10
2021.10.01	03:40:00	43909.10	43929.10	43709.90	43725.00	2089	0	10
2021.10.01	04:00:00	43725.00	43725.00	43422.30	43554.80	2893	0	10
2021.10.01	04:20:00	43554.80	43681.40	43554.80	43667.70	1331	0	10
2021.10.01	04:40:00	43667.70	43776.00	43657.60	43741.00	1617	0	10
2021.10.01	05:00:00	43741.00	43792.80	43550.10	43550.30	881	0	10
2021.10.01	05:20:00	43550.30	43600.50	43402.70	43438.50	1948	0	10
2021.10.01	05:40:00	43438.50	43438.50	43300.00	43378.30	2035	0	10
2021.10.01	06:00:00	43378.30	43574.30	43376.10	43544.30	1132	0	10
2021.10.01	06:20:00	43544.30	43598.70	43467.00	43598.70	740	0	10
2021.10.01	06:40:00	43598.70	43649.90	43454.20	43635.70	1494	0	10
2021.10.01	07:00:00	43635.70	43705.20	43562.70	43614.40	3578	0	10
2021.10.01	07:20:00	43614.40	43623.60	43488.60	43500.40	1871	0	10
2021.10.01	07:40:00	43502.60	43614.90	43474.10	43614.90	2515	0	10
2021.10.01	08:00:00	43614.90	43784.90	43550.30	43784.90	1029	0	10
2021.10.01	08:20:00	43784.90	43816.90	43695.10	43815.50	1720	0	10
2021.10.01	08:40:00	43815.50	43891.20	43807.60	43856.40	2479	0	10
2021.10.01	09:00:00	43856.40	43977.70	43848.80	43920.10	972	0	10
2021.10.01	09:20:00	43918.30	43937.60	43758.90	43920.30	1593	0	10
2021.10.01	09:40:00	43920.30	44019.80	43901.00	44004.20	647	0	10
2021.10.01	10:00:00	44004.20	44346.40	43935.00	44321.50	1510	0	10
2021.10.01	10:20:00	44321.50	44781.00	44263.40	44728.00	3101	0	10
2021.10.01	10:40:00	44728.00	44798.90	44715.00	44798.90	1794	0	10
2021.10.01	11:00:00	44798.90	44984.20	44746.60	44753.30	2406	0	10
2021.10.01	11:20:00	44753.30	44876.20	44749.30	44799.90	1856	0	10
2021.10.01	11:40:00	44799.90	44948.70	44788.00	44948.60	1203	0	10
2021.10.01	12:00:00	44948.60	44957.70	44798.90	44835.50	2625	0	10
2021.10.01	12:20:00	44835.50	44998.00	44835.50	44996.60	1241	0	10
2021.10.01	12:40:00	44996.60	44996.60	44851.20	44899.90	1601	0	10
2021.10.01	13:00:00	44899.90	44964.50	44854.80	44897.90	1489	0	10
2021.10.01	13:20:00	44897.90	46997.60	44897.90	46910.00	4586	0	10
2021.10.01	13:40:00	46910.00	47692.50	46863.30	47099.60	5760	0	10
2021.10.01	14:00:00	47099.60	47434.60	46948.80	47350.00	2886	0	10
2021.10.01	14:20:00	47350.00	47462.20	47246.20	47429.40	3151	0	10
