<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.02.13	00:00:00	2878.32	2900.63	2876.39	2900.63	2428	0	1
2022.02.13	00:20:00	2900.70	2919.67	2885.58	2910.34	1494	0	1
2022.02.13	00:40:00	2910.34	2919.27	2897.42	2916.58	1878	0	1
2022.02.13	01:00:00	2916.58	2920.78	2910.01	2914.95	1655	0	1
2022.02.13	01:20:00	2914.48	2914.58	2900.06	2901.12	1475	0	1
2022.02.13	01:40:00	2901.12	2923.92	2899.99	2918.33	2238	0	1
2022.02.13	02:00:00	2918.33	2919.90	2900.01	2912.93	2074	0	1
2022.02.13	02:20:00	2912.93	2943.24	2905.67	2943.24	2045	0	1
2022.02.13	02:40:00	2943.24	2947.25	2932.96	2936.82	897	0	1
2022.02.13	03:00:00	2936.82	2941.31	2932.11	2937.59	1330	0	1
2022.02.13	03:20:00	2937.58	2938.82	2928.10	2929.77	1144	0	1
2022.02.13	03:40:00	2929.77	2929.99	2920.44	2920.50	1572	0	1
2022.02.13	04:00:00	2920.50	2925.98	2914.85	2922.64	1385	0	1
2022.02.13	04:20:00	2922.64	2922.64	2910.41	2919.79	1808	0	1
2022.02.13	04:40:00	2919.52	2928.80	2914.60	2926.60	1936	0	1
2022.02.13	05:00:00	2926.61	2927.89	2915.23	2919.49	2078	0	1
2022.02.13	05:20:00	2919.49	2928.62	2914.85	2927.33	1642	0	1
2022.02.13	05:40:00	2927.35	2929.26	2916.44	2918.73	2651	0	1
2022.02.13	06:00:00	2918.73	2928.39	2918.73	2927.12	1714	0	1
2022.02.13	06:20:00	2927.12	2927.55	2917.21	2918.76	1301	0	1
2022.02.13	06:40:00	2918.76	2919.28	2906.61	2917.84	1738	0	1
2022.02.13	07:00:00	2918.11	2919.12	2902.87	2907.59	1212	0	1
2022.02.13	07:20:00	2907.63	2920.93	2906.11	2916.61	1432	0	1
2022.02.13	07:40:00	2916.61	2920.84	2906.69	2916.01	1826	0	1
2022.02.13	08:00:00	2916.01	2917.21	2905.65	2908.24	1969	0	1
2022.02.13	08:20:00	2908.24	2927.40	2906.09	2925.04	2003	0	1
2022.02.13	08:40:00	2925.04	2926.90	2921.34	2925.91	2543	0	1
2022.02.13	09:00:00	2925.91	2925.91	2922.33	2924.80	843	0	1
2022.02.13	09:20:00	2924.81	2924.83	2914.55	2916.14	1699	0	1
2022.02.13	09:40:00	2916.49	2926.57	2916.14	2923.82	1427	0	1
2022.02.13	10:00:00	2923.82	2929.26	2913.68	2929.25	1122	0	1
2022.02.13	10:20:00	2929.25	2929.25	2919.98	2928.70	1631	0	1
2022.02.13	10:40:00	2928.70	2930.53	2925.00	2929.70	1425	0	1
2022.02.13	11:00:00	2929.70	2929.70	2921.82	2923.57	1020	0	1
2022.02.13	11:20:00	2923.44	2926.17	2917.91	2919.75	1202	0	1
2022.02.13	11:40:00	2919.82	2924.27	2918.66	2918.66	1350	0	1
2022.02.13	12:00:00	2918.66	2918.66	2911.00	2918.40	1148	0	1
2022.02.13	12:20:00	2918.77	2936.79	2915.59	2933.84	1488	0	1
2022.02.13	12:40:00	2933.72	2937.15	2927.68	2933.46	1909	0	1
2022.02.13	13:00:00	2933.46	2934.90	2929.00	2934.50	1530	0	1
2022.02.13	13:20:00	2934.49	2946.12	2933.08	2944.08	1764	0	1
2022.02.13	13:40:00	2943.63	2943.89	2931.58	2933.01	1000	0	1
2022.02.13	14:00:00	2933.01	2937.46	2927.19	2933.93	1610	0	1
2022.02.13	14:20:00	2933.95	2942.76	2933.95	2936.25	1327	0	1
2022.02.13	14:40:00	2936.25	2950.07	2935.97	2937.05	2104	0	1
2022.02.13	15:00:00	2936.94	2946.35	2932.08	2946.35	1566	0	1
2022.02.13	15:20:00	2946.35	2950.87	2940.55	2942.29	1177	0	1
2022.02.13	15:40:00	2942.29	2943.76	2937.39	2942.71	2258	0	1
2022.02.13	16:00:00	2942.71	2954.14	2940.54	2941.38	2585	0	1
2022.02.13	16:20:00	2941.38	2944.44	2909.98	2924.70	2815	0	1
2022.02.13	16:40:00	2926.72	2936.31	2916.01	2934.36	2049	0	1
2022.02.13	17:00:00	2934.41	2941.15	2930.25	2932.19	1065	0	1
2022.02.13	17:20:00	2932.19	2941.42	2928.33	2933.32	1519	0	1
2022.02.13	17:40:00	2933.30	2936.51	2920.00	2920.00	1451	0	1
2022.02.13	18:00:00	2920.00	2921.20	2893.81	2898.84	2032	0	1
2022.02.13	18:20:00	2898.85	2907.94	2884.04	2884.99	2077	0	1
2022.02.13	18:40:00	2884.99	2890.71	2876.75	2890.37	2191	0	1
2022.02.13	19:00:00	2890.37	2890.38	2868.49	2878.01	2129	0	1
2022.02.13	19:20:00	2878.01	2887.99	2871.29	2885.19	2692	0	1
2022.02.13	19:40:00	2885.20	2894.93	2883.35	2887.99	916	0	1
2022.02.13	20:00:00	2887.99	2903.14	2887.99	2897.56	1928	0	1
2022.02.13	20:20:00	2897.57	2898.18	2832.00	2849.41	1887	0	1
2022.02.13	20:40:00	2849.43	2857.19	2839.27	2851.55	1634	0	1
2022.02.13	21:00:00	2851.55	2868.05	2847.21	2863.87	2428	0	1
2022.02.13	21:20:00	2863.87	2868.88	2846.99	2852.42	1376	0	1
2022.02.13	21:40:00	2852.42	2859.83	2838.88	2857.49	1224	0	1
2022.02.13	22:00:00	2857.49	2883.97	2849.57	2880.58	2065	0	1
2022.02.13	22:20:00	2880.58	2898.24	2880.58	2893.23	2533	0	1
2022.02.13	22:40:00	2893.23	2899.99	2888.10	2899.99	897	0	1
2022.02.13	23:00:00	2900.13	2908.74	2885.92	2886.37	1880	0	1
2022.02.13	23:20:00	2886.37	2889.46	2878.24	2878.98	1351	0	1
2022.02.13	23:40:00	2878.77	2885.32	2874.53	2874.75	1110	0	1
2022.02.14	00:00:00	2874.75	2891.71	2874.75	2891.24	564	0	1
2022.02.14	00:20:00	2891.31	2892.63	2886.52	2891.72	544	0	1
2022.02.14	00:40:00	2891.82	2908.68	2887.61	2903.89	728	0	1
2022.02.14	01:00:00	2903.89	2905.40	2867.41	2887.29	3108	0	1
2022.02.14	01:20:00	2888.18	2888.97	2872.55	2880.37	1801	0	1
2022.02.14	01:40:00	2880.39	2890.90	2870.18	2872.04	1861	0	1
2022.02.14	02:00:00	2872.27	2890.09	2865.88	2889.92	1892	0	1
2022.02.14	02:20:00	2889.73	2892.15	2860.00	2875.98	2177	0	1
2022.02.14	02:40:00	2875.98	2876.83	2860.00	2869.66	1597	0	1
2022.02.14	03:00:00	2869.66	2876.10	2861.76	2875.97	1625	0	1
2022.02.14	03:20:00	2875.32	2876.22	2833.43	2843.06	2113	0	1
2022.02.14	03:40:00	2843.06	2847.43	2836.16	2840.49	3081	0	1
2022.02.14	04:00:00	2840.53	2859.37	2837.05	2858.22	1766	0	1
2022.02.14	04:20:00	2858.57	2863.59	2848.89	2856.04	2309	0	1
2022.02.14	04:40:00	2856.04	2857.49	2844.00	2845.22	1456	0	1
2022.02.14	05:00:00	2845.32	2860.76	2836.55	2860.01	3115	0	1
2022.02.14	05:20:00	2860.01	2869.87	2857.63	2866.91	2116	0	1
2022.02.14	05:40:00	2866.91	2870.40	2864.97	2867.04	2969	0	1
2022.02.14	06:00:00	2867.04	2869.10	2861.05	2861.80	1615	0	1
2022.02.14	06:20:00	2861.77	2869.20	2861.30	2863.00	1972	0	1
2022.02.14	06:40:00	2863.00	2868.82	2861.51	2867.65	1510	0	1
2022.02.14	07:00:00	2867.65	2871.48	2863.47	2863.47	2760	0	1
2022.02.14	07:20:00	2863.36	2865.53	2855.63	2857.22	1874	0	1
2022.02.14	07:40:00	2857.31	2859.47	2847.23	2848.79	2190	0	1
2022.02.14	08:00:00	2848.79	2859.61	2846.41	2858.96	2054	0	1
2022.02.14	08:20:00	2858.96	2862.63	2851.10	2857.53	1554	0	1
2022.02.14	08:40:00	2857.53	2874.20	2851.89	2872.14	2183	0	1
2022.02.14	09:00:00	2872.14	2876.87	2865.51	2870.35	2535	0	1
2022.02.14	09:20:00	2870.35	2871.42	2867.40	2869.50	862	0	1
2022.02.14	09:40:00	2869.50	2882.77	2868.70	2882.77	1515	0	1
2022.02.14	10:00:00	2882.77	2888.32	2882.24	2884.88	3026	0	1
2022.02.14	10:20:00	2884.88	2888.32	2865.00	2865.01	1816	0	1
2022.02.14	10:40:00	2865.01	2868.41	2858.88	2859.11	2117	0	1
2022.02.14	11:00:00	2859.11	2862.34	2854.00	2860.77	2144	0	1
2022.02.14	11:20:00	2860.77	2866.36	2859.28	2859.45	2045	0	1
2022.02.14	11:40:00	2859.37	2860.32	2854.00	2858.94	1247	0	1
2022.02.14	12:00:00	2858.94	2867.94	2849.48	2859.74	849	0	1
2022.02.14	12:20:00	2859.74	2867.45	2858.55	2865.59	1889	0	1
2022.02.14	12:40:00	2865.59	2875.32	2861.71	2873.83	1066	0	1
2022.02.14	13:00:00	2873.83	2875.81	2866.90	2870.71	1860	0	1
2022.02.14	13:20:00	2870.71	2876.38	2870.46	2876.38	1487	0	1
2022.02.14	13:40:00	2876.38	2877.32	2869.17	2875.23	860	0	1
2022.02.14	14:00:00	2875.23	2877.31	2858.67	2859.48	1734	0	1
2022.02.14	14:20:00	2860.31	2892.88	2859.48	2891.13	1842	0	1
2022.02.14	14:40:00	2891.15	2930.29	2891.15	2928.91	3086	0	1
2022.02.14	15:00:00	2928.91	2934.99	2923.24	2928.75	1269	0	1
2022.02.14	15:20:00	2928.75	2944.20	2927.22	2936.59	1919	0	1
2022.02.14	15:40:00	2936.59	2942.00	2925.08	2940.00	1178	0	1
2022.02.14	16:00:00	2940.00	2960.00	2940.00	2954.51	1539	0	1
2022.02.14	16:20:00	2954.51	2965.08	2944.50	2944.86	2100	0	1
2022.02.14	16:40:00	2944.86	2952.37	2938.89	2940.00	1313	0	1
2022.02.14	17:00:00	2940.00	2948.27	2930.37	2937.07	2745	0	1
2022.02.14	17:20:00	2937.07	2942.48	2918.17	2925.06	2917	0	1
2022.02.14	17:40:00	2925.07	2941.90	2924.62	2937.52	2304	0	1
2022.02.14	18:00:00	2937.53	2950.00	2934.63	2949.10	2223	0	1
2022.02.14	18:20:00	2949.10	2964.48	2948.00	2957.54	1044	0	1
2022.02.14	18:40:00	2957.54	2960.46	2947.98	2951.17	2158	0	1
2022.02.14	19:00:00	2951.17	2955.25	2948.12	2952.82	2895	0	1
2022.02.14	19:20:00	2952.55	2964.25	2940.19	2942.61	2453	0	1
2022.02.14	19:40:00	2942.97	2957.48	2941.44	2945.70	2253	0	1
2022.02.14	20:00:00	2945.70	2953.56	2942.76	2950.60	2001	0	1
2022.02.14	20:20:00	2950.52	2952.39	2928.88	2933.20	2556	0	1
2022.02.14	20:40:00	2933.20	2935.87	2905.03	2908.63	2722	0	1
2022.02.14	21:00:00	2908.63	2910.68	2871.88	2874.79	3398	0	1
2022.02.14	21:20:00	2874.79	2887.39	2860.88	2887.38	3077	0	1
2022.02.14	21:40:00	2887.38	2891.93	2877.19	2881.75	1749	0	1
2022.02.14	22:00:00	2881.75	2886.61	2868.99	2869.52	1710	0	1
2022.02.14	22:20:00	2869.52	2903.16	2868.88	2899.00	1834	0	1
2022.02.14	22:40:00	2899.00	2905.80	2893.59	2898.33	1872	0	1
2022.02.14	23:00:00	2898.33	2901.12	2894.15	2900.00	1273	0	1
2022.02.14	23:20:00	2900.00	2900.00	2893.26	2895.36	1183	0	1
2022.02.14	23:40:00	2895.36	2922.19	2889.32	2915.92	1432	0	1
