<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.02.14	00:00:00	1.13393	1.13437	1.13377	1.13414	1095	0	13
2022.02.14	00:20:00	1.13413	1.13461	1.13397	1.13440	2279	0	15
2022.02.14	00:40:00	1.13440	1.13471	1.13412	1.13417	566	0	17
2022.02.14	01:00:00	1.13417	1.13534	1.13417	1.13534	1172	0	4
2022.02.14	01:20:00	1.13534	1.13613	1.13534	1.13609	568	0	4
2022.02.14	01:40:00	1.13609	1.13666	1.13592	1.13639	440	0	4
2022.02.14	02:00:00	1.13639	1.13688	1.13588	1.13659	955	0	1
2022.02.14	02:20:00	1.13659	1.13673	1.13590	1.13598	727	0	1
2022.02.14	02:40:00	1.13598	1.13638	1.13598	1.13625	524	0	1
2022.02.14	03:00:00	1.13624	1.13648	1.13581	1.13598	894	0	1
2022.02.14	03:20:00	1.13598	1.13603	1.13550	1.13551	711	0	2
2022.02.14	03:40:00	1.13551	1.13565	1.13516	1.13535	1112	0	1
2022.02.14	04:00:00	1.13534	1.13536	1.13458	1.13458	682	0	1
2022.02.14	04:20:00	1.13458	1.13474	1.13402	1.13435	869	0	1
2022.02.14	04:40:00	1.13435	1.13465	1.13414	1.13429	582	0	1
2022.02.14	05:00:00	1.13429	1.13483	1.13425	1.13435	649	0	1
2022.02.14	05:20:00	1.13434	1.13457	1.13412	1.13436	511	0	1
2022.02.14	05:40:00	1.13436	1.13451	1.13415	1.13431	578	0	2
2022.02.14	06:00:00	1.13430	1.13449	1.13412	1.13448	518	0	1
2022.02.14	06:20:00	1.13448	1.13488	1.13441	1.13471	554	0	1
2022.02.14	06:40:00	1.13473	1.13475	1.13447	1.13455	491	0	2
2022.02.14	07:00:00	1.13455	1.13464	1.13418	1.13459	453	0	0
2022.02.14	07:20:00	1.13459	1.13489	1.13452	1.13480	475	0	0
2022.02.14	07:40:00	1.13481	1.13525	1.13481	1.13513	429	0	1
2022.02.14	08:00:00	1.13513	1.13519	1.13438	1.13451	551	0	0
2022.02.14	08:20:00	1.13452	1.13484	1.13421	1.13432	490	0	1
2022.02.14	08:40:00	1.13432	1.13453	1.13388	1.13443	640	0	0
2022.02.14	09:00:00	1.13444	1.13476	1.13374	1.13468	1674	0	0
2022.02.14	09:20:00	1.13468	1.13492	1.13445	1.13457	1506	0	0
2022.02.14	09:40:00	1.13460	1.13498	1.13359	1.13383	1785	0	0
2022.02.14	10:00:00	1.13382	1.13434	1.13287	1.13406	3119	0	0
2022.02.14	10:20:00	1.13405	1.13430	1.13087	1.13106	3392	0	0
2022.02.14	10:40:00	1.13107	1.13153	1.13035	1.13091	2810	0	0
2022.02.14	11:00:00	1.13090	1.13173	1.13079	1.13165	2204	0	0
2022.02.14	11:20:00	1.13165	1.13211	1.13126	1.13169	1669	0	0
2022.02.14	11:40:00	1.13169	1.13217	1.13093	1.13116	1620	0	0
2022.02.14	12:00:00	1.13116	1.13139	1.13010	1.13021	1543	0	0
2022.02.14	12:20:00	1.13021	1.13151	1.13021	1.13151	1364	0	0
2022.02.14	12:40:00	1.13151	1.13182	1.13108	1.13136	1556	0	0
2022.02.14	13:00:00	1.13136	1.13143	1.13005	1.13013	1120	0	0
2022.02.14	13:20:00	1.13015	1.13052	1.13006	1.13021	962	0	0
2022.02.14	13:40:00	1.13021	1.13117	1.13011	1.13110	1199	0	0
2022.02.14	14:00:00	1.13110	1.13111	1.13030	1.13050	1344	0	0
2022.02.14	14:20:00	1.13050	1.13282	1.13020	1.13267	2295	0	0
2022.02.14	14:40:00	1.13266	1.13423	1.13216	1.13272	4574	0	0
2022.02.14	15:00:00	1.13272	1.13311	1.13146	1.13146	3133	0	0
2022.02.14	15:20:00	1.13146	1.13294	1.13128	1.13207	3218	0	0
2022.02.14	15:40:00	1.13207	1.13261	1.13111	1.13152	3523	0	0
2022.02.14	16:00:00	1.13150	1.13199	1.13099	1.13150	2871	0	0
2022.02.14	16:20:00	1.13150	1.13197	1.13049	1.13080	3089	0	0
2022.02.14	16:40:00	1.13080	1.13213	1.13067	1.13201	2888	0	0
2022.02.14	17:00:00	1.13201	1.13201	1.13013	1.13031	2979	0	0
2022.02.14	17:20:00	1.13031	1.13075	1.13005	1.13033	2925	0	0
2022.02.14	17:40:00	1.13033	1.13099	1.12915	1.13058	3461	0	0
2022.02.14	18:00:00	1.13059	1.13104	1.12961	1.12982	2909	0	0
2022.02.14	18:20:00	1.12983	1.13143	1.12970	1.13074	2598	0	0
2022.02.14	18:40:00	1.13074	1.13116	1.13031	1.13063	1838	0	0
2022.02.14	19:00:00	1.13064	1.13064	1.12989	1.13030	1298	0	0
2022.02.14	19:20:00	1.13031	1.13086	1.13014	1.13074	1155	0	0
2022.02.14	19:40:00	1.13074	1.13138	1.13045	1.13104	907	0	0
2022.02.14	20:00:00	1.13103	1.13144	1.13078	1.13114	1028	0	1
2022.02.14	20:20:00	1.13115	1.13129	1.13077	1.13104	1061	0	1
2022.02.14	20:40:00	1.13104	1.13128	1.12968	1.12976	2589	0	1
2022.02.14	21:00:00	1.12975	1.13016	1.12913	1.12939	2944	0	1
2022.02.14	21:20:00	1.12939	1.12989	1.12800	1.12969	3714	0	1
2022.02.14	21:40:00	1.12970	1.12993	1.12919	1.12948	2566	0	1
2022.02.14	22:00:00	1.12947	1.13002	1.12928	1.12997	1900	0	1
2022.02.14	22:20:00	1.12997	1.13048	1.12988	1.13044	1460	0	1
2022.02.14	22:40:00	1.13044	1.13044	1.12934	1.12942	1318	0	1
2022.02.14	23:00:00	1.12940	1.12999	1.12940	1.12999	563	0	2
2022.02.14	23:20:00	1.12997	1.13058	1.12997	1.13048	432	0	2
2022.02.14	23:40:00	1.13049	1.13077	1.13042	1.13059	481	0	3
2022.02.15	00:00:00	1.13041	1.13064	1.12990	1.13044	201	0	10
2022.02.15	00:20:00	1.13044	1.13047	1.13016	1.13039	232	0	15
2022.02.15	00:40:00	1.13039	1.13046	1.13017	1.13042	444	0	11
2022.02.15	01:00:00	1.13042	1.13065	1.13037	1.13047	363	0	4
2022.02.15	01:20:00	1.13047	1.13059	1.13039	1.13054	266	0	4
2022.02.15	01:40:00	1.13054	1.13077	1.13041	1.13059	510	0	3
2022.02.15	02:00:00	1.13059	1.13115	1.13033	1.13110	597	0	2
2022.02.15	02:20:00	1.13110	1.13133	1.13103	1.13114	521	0	2
2022.02.15	02:40:00	1.13113	1.13121	1.13079	1.13121	414	0	2
2022.02.15	03:00:00	1.13121	1.13147	1.13101	1.13129	591	0	2
2022.02.15	03:20:00	1.13129	1.13144	1.13113	1.13134	550	0	2
2022.02.15	03:40:00	1.13133	1.13135	1.13085	1.13105	652	0	2
2022.02.15	04:00:00	1.13106	1.13123	1.13090	1.13107	452	0	2
2022.02.15	04:20:00	1.13106	1.13204	1.13095	1.13202	716	0	2
2022.02.15	04:40:00	1.13202	1.13222	1.13172	1.13186	603	0	2
2022.02.15	05:00:00	1.13187	1.13199	1.13151	1.13186	569	0	2
2022.02.15	05:20:00	1.13186	1.13198	1.13168	1.13178	684	0	1
2022.02.15	05:40:00	1.13180	1.13223	1.13169	1.13173	754	0	2
2022.02.15	06:00:00	1.13171	1.13206	1.13163	1.13202	326	0	2
2022.02.15	06:20:00	1.13202	1.13206	1.13180	1.13203	442	0	2
2022.02.15	06:40:00	1.13203	1.13206	1.13180	1.13192	341	0	1
2022.02.15	07:00:00	1.13191	1.13203	1.13151	1.13185	774	0	1
2022.02.15	07:20:00	1.13185	1.13211	1.13145	1.13177	586	0	0
2022.02.15	07:40:00	1.13177	1.13204	1.13163	1.13170	610	0	1
2022.02.15	08:00:00	1.13170	1.13181	1.13136	1.13175	668	0	0
2022.02.15	08:20:00	1.13175	1.13187	1.13134	1.13156	656	0	1
2022.02.15	08:40:00	1.13154	1.13238	1.13154	1.13218	914	0	0
2022.02.15	09:00:00	1.13216	1.13264	1.13196	1.13263	1425	0	0
2022.02.15	09:20:00	1.13264	1.13280	1.13165	1.13173	1431	0	0
2022.02.15	09:40:00	1.13173	1.13189	1.13116	1.13127	1306	0	0
2022.02.15	10:00:00	1.13126	1.13392	1.13095	1.13294	3553	0	0
2022.02.15	10:20:00	1.13291	1.13456	1.13288	1.13390	3307	0	0
2022.02.15	10:40:00	1.13389	1.13489	1.13372	1.13460	2388	0	0
2022.02.15	11:00:00	1.13460	1.13500	1.13429	1.13451	1983	0	0
2022.02.15	11:20:00	1.13451	1.13461	1.13357	1.13373	1736	0	0
2022.02.15	11:40:00	1.13373	1.13464	1.13371	1.13463	1608	0	0
2022.02.15	12:00:00	1.13463	1.13536	1.13451	1.13529	1765	0	0
2022.02.15	12:20:00	1.13530	1.13537	1.13385	1.13480	2532	0	0
2022.02.15	12:40:00	1.13483	1.13523	1.13441	1.13482	1780	0	0
2022.02.15	13:00:00	1.13480	1.13530	1.13439	1.13495	1677	0	0
2022.02.15	13:20:00	1.13495	1.13521	1.13442	1.13451	1771	0	0
2022.02.15	13:40:00	1.13451	1.13480	1.13408	1.13457	1700	0	0
2022.02.15	14:00:00	1.13457	1.13506	1.13412	1.13444	2240	0	0
2022.02.15	14:20:00	1.13442	1.13447	1.13365	1.13426	1635	0	0
2022.02.15	14:40:00	1.13425	1.13497	1.13376	1.13406	1966	0	0
2022.02.15	15:00:00	1.13405	1.13485	1.13405	1.13456	1882	0	0
2022.02.15	15:20:00	1.13456	1.13599	1.13416	1.13586	2378	0	0
2022.02.15	15:40:00	1.13586	1.13594	1.13519	1.13560	2186	0	0
2022.02.15	16:00:00	1.13560	1.13581	1.13518	1.13525	2182	0	0
2022.02.15	16:20:00	1.13525	1.13592	1.13479	1.13503	3052	0	0
2022.02.15	16:40:00	1.13503	1.13505	1.13202	1.13215	3205	0	0
2022.02.15	17:00:00	1.13216	1.13376	1.13215	1.13351	2895	0	0
2022.02.15	17:20:00	1.13351	1.13517	1.13336	1.13481	2636	0	0
2022.02.15	17:40:00	1.13481	1.13574	1.13464	1.13547	2608	0	0
2022.02.15	18:00:00	1.13546	1.13683	1.13544	1.13617	2118	0	0
2022.02.15	18:20:00	1.13617	1.13677	1.13579	1.13666	1982	0	0
2022.02.15	18:40:00	1.13664	1.13677	1.13620	1.13626	1545	0	0
2022.02.15	19:00:00	1.13626	1.13630	1.13529	1.13538	1099	0	0
2022.02.15	19:20:00	1.13538	1.13547	1.13459	1.13491	1378	0	0
2022.02.15	19:40:00	1.13492	1.13601	1.13488	1.13589	1299	0	0
2022.02.15	20:00:00	1.13587	1.13621	1.13580	1.13605	752	0	1
2022.02.15	20:20:00	1.13606	1.13642	1.13572	1.13588	677	0	1
2022.02.15	20:40:00	1.13588	1.13603	1.13554	1.13556	521	0	1
2022.02.15	21:00:00	1.13556	1.13619	1.13544	1.13601	707	0	1
2022.02.15	21:20:00	1.13602	1.13615	1.13553	1.13612	486	0	1
2022.02.15	21:40:00	1.13611	1.13636	1.13570	1.13593	930	0	1
2022.02.15	22:00:00	1.13593	1.13635	1.13591	1.13635	891	0	1
2022.02.15	22:20:00	1.13635	1.13636	1.13545	1.13579	965	0	1
2022.02.15	22:40:00	1.13577	1.13621	1.13570	1.13586	1238	0	1
2022.02.15	23:00:00	1.13586	1.13593	1.13558	1.13582	472	0	2
2022.02.15	23:20:00	1.13581	1.13594	1.13561	1.13585	336	0	3
2022.02.15	23:40:00	1.13586	1.13597	1.13555	1.13583	383	0	3
2022.02.16	00:00:00	1.13570	1.13603	1.13545	1.13561	123	0	14
2022.02.16	00:20:00	1.13559	1.13600	1.13551	1.13586	184	0	11
2022.02.16	00:40:00	1.13585	1.13589	1.13561	1.13565	262	0	12
2022.02.16	01:00:00	1.13564	1.13597	1.13564	1.13592	324	0	4
2022.02.16	01:20:00	1.13592	1.13593	1.13558	1.13565	185	0	4
2022.02.16	01:40:00	1.13555	1.13575	1.13549	1.13549	158	0	4
