<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.11.08	01:20:00	16326.0	16341.5	16325.3	16341.3	329	0	3
2021.11.08	01:40:00	16341.5	16345.8	16320.0	16323.9	702	0	2
2021.11.08	02:00:00	16323.9	16329.3	16314.9	16326.0	1029	0	2
2021.11.08	02:20:00	16326.0	16326.0	16312.0	16312.0	734	0	1
2021.11.08	02:40:00	16311.6	16315.9	16299.3	16308.7	889	0	1
2021.11.08	03:00:00	16308.7	16315.3	16307.1	16312.6	869	0	1
2021.11.08	03:20:00	16312.6	16314.7	16298.1	16314.6	1010	0	1
2021.11.08	03:40:00	16314.7	16325.2	16289.2	16296.4	1174	0	1
2021.11.08	04:00:00	16295.8	16303.3	16290.7	16300.3	846	0	2
2021.11.08	04:20:00	16300.6	16303.3	16293.9	16295.8	833	0	2
2021.11.08	04:40:00	16295.4	16298.7	16284.1	16294.3	741	0	2
2021.11.08	05:00:00	16294.8	16301.5	16292.4	16295.1	653	0	3
2021.11.08	05:20:00	16294.9	16300.6	16294.0	16295.4	584	0	2
2021.11.08	05:40:00	16295.4	16299.1	16293.6	16296.7	449	0	3
2021.11.08	06:00:00	16296.9	16307.9	16296.3	16303.9	477	0	0
2021.11.08	06:20:00	16304.1	16306.6	16301.4	16303.0	371	0	4
2021.11.08	06:40:00	16302.9	16303.4	16294.3	16297.8	367	0	4
2021.11.08	07:00:00	16298.1	16302.1	16295.7	16298.3	621	0	3
2021.11.08	07:20:00	16298.2	16328.2	16296.6	16321.8	736	0	4
2021.11.08	07:40:00	16322.2	16324.5	16309.4	16321.9	810	0	1
2021.11.08	08:00:00	16322.7	16327.0	16314.1	16319.4	643	0	2
2021.11.08	08:20:00	16319.7	16323.6	16303.2	16303.2	619	0	1
2021.11.08	08:40:00	16303.2	16306.2	16297.2	16304.8	489	0	2
2021.11.08	09:00:00	16304.7	16322.8	16300.8	16322.5	723	0	1
2021.11.08	09:20:00	16322.4	16323.0	16310.1	16311.7	578	0	3
2021.11.08	09:40:00	16311.9	16314.9	16302.0	16310.1	511	0	2
2021.11.08	10:00:00	16310.1	16348.5	16309.8	16334.8	1480	0	1
2021.11.08	10:20:00	16334.8	16341.1	16322.4	16331.5	1119	0	2
2021.11.08	10:40:00	16331.5	16348.3	16327.9	16345.3	871	0	1
2021.11.08	11:00:00	16345.1	16351.0	16338.0	16343.2	1143	0	2
2021.11.08	11:20:00	16343.4	16349.1	16339.2	16348.5	903	0	2
2021.11.08	11:40:00	16348.3	16348.5	16338.8	16345.5	757	0	2
2021.11.08	12:00:00	16346.0	16354.8	16344.3	16354.5	724	0	1
2021.11.08	12:20:00	16354.3	16367.5	16352.4	16366.6	661	0	1
2021.11.08	12:40:00	16366.6	16367.5	16352.7	16356.0	535	0	0
2021.11.08	13:00:00	16356.1	16361.5	16356.0	16359.4	391	0	0
2021.11.08	13:20:00	16359.4	16369.4	16357.2	16367.1	508	0	0
2021.11.08	13:40:00	16367.2	16374.1	16365.3	16365.7	558	0	0
2021.11.08	14:00:00	16365.0	16366.3	16353.6	16362.7	699	0	0
2021.11.08	14:20:00	16362.7	16372.3	16360.9	16366.0	613	0	1
2021.11.08	14:40:00	16366.6	16366.6	16348.2	16354.3	798	0	1
2021.11.08	15:00:00	16354.6	16360.0	16351.2	16356.4	829	0	1
2021.11.08	15:20:00	16356.7	16369.9	16356.0	16366.8	884	0	1
2021.11.08	15:40:00	16367.2	16368.7	16361.7	16366.8	740	0	2
2021.11.08	16:00:00	16366.8	16378.2	16357.5	16376.7	1186	0	1
2021.11.08	16:20:00	16376.7	16404.9	16345.3	16369.2	2901	0	0
2021.11.08	16:40:00	16371.0	16385.4	16329.3	16349.7	3596	0	0
2021.11.08	17:00:00	16350.0	16371.3	16330.0	16358.1	3176	0	1
2021.11.08	17:20:00	16357.8	16373.4	16333.8	16334.1	2565	0	1
2021.11.08	17:40:00	16334.4	16359.7	16314.6	16348.5	2348	0	1
2021.11.08	18:00:00	16349.4	16358.6	16327.7	16348.7	2729	0	1
2021.11.08	18:20:00	16349.2	16379.1	16348.7	16369.2	2209	0	0
2021.11.08	18:40:00	16368.7	16371.1	16338.6	16345.4	2025	0	1
2021.11.08	19:00:00	16345.9	16353.1	16324.2	16347.0	2212	0	1
2021.11.08	19:20:00	16346.6	16351.1	16332.3	16334.4	2002	0	0
2021.11.08	19:40:00	16334.4	16357.5	16332.9	16356.2	2127	0	1
2021.11.08	20:00:00	16356.1	16373.4	16349.2	16371.3	1989	0	1
2021.11.08	20:20:00	16370.9	16376.1	16357.2	16364.9	1942	0	2
2021.11.08	20:40:00	16365.4	16377.9	16359.7	16370.9	1729	0	1
2021.11.08	21:00:00	16371.1	16393.7	16366.9	16387.4	1720	0	1
2021.11.08	21:20:00	16387.2	16387.3	16352.6	16365.7	1818	0	1
2021.11.08	21:40:00	16365.5	16382.0	16364.9	16379.1	1512	0	0
