<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.02.14	01:20:00	4410.5	4414.4	4410.2	4414.4	331	0	1
2022.02.14	01:40:00	4414.4	4425.9	4412.7	4422.7	851	0	1
2022.02.14	02:00:00	4422.9	4428.7	4421.9	4428.2	1046	0	0
2022.02.14	02:20:00	4428.2	4428.2	4413.7	4418.4	821	0	1
2022.02.14	02:40:00	4418.4	4425.4	4418.4	4423.5	818	0	2
2022.02.14	03:00:00	4423.5	4426.9	4419.7	4423.0	1052	0	2
2022.02.14	03:20:00	4423.2	4424.4	4416.5	4416.7	1172	0	1
2022.02.14	03:40:00	4416.7	4416.9	4411.9	4414.7	905	0	1
2022.02.14	04:00:00	4414.4	4416.4	4412.0	4414.2	607	0	0
2022.02.14	04:20:00	4414.2	4418.9	4410.9	4416.7	651	0	0
2022.02.14	04:40:00	4416.7	4422.7	4416.3	4419.7	610	0	1
2022.02.14	05:00:00	4419.7	4424.7	4415.9	4424.2	551	0	1
2022.02.14	05:20:00	4424.2	4428.2	4422.5	4426.4	579	0	1
2022.02.14	05:40:00	4426.4	4428.9	4423.4	4428.0	532	0	0
2022.02.14	06:00:00	4427.9	4428.4	4425.0	4425.5	439	0	2
2022.02.14	06:20:00	4425.5	4428.2	4424.2	4424.9	299	0	3
2022.02.14	06:40:00	4424.9	4427.4	4422.7	4426.7	280	0	3
2022.02.14	07:00:00	4426.7	4430.7	4424.5	4426.2	532	0	2
2022.02.14	07:20:00	4426.2	4428.2	4423.5	4425.5	492	0	2
2022.02.14	07:40:00	4425.5	4425.7	4420.2	4421.9	416	0	1
2022.02.14	08:00:00	4422.2	4423.4	4420.2	4421.4	540	0	2
2022.02.14	08:20:00	4421.7	4423.4	4418.7	4418.9	397	0	2
2022.02.14	08:40:00	4418.9	4424.4	4415.2	4424.2	564	0	1
2022.02.14	09:00:00	4423.9	4424.4	4412.0	4419.0	1204	0	1
2022.02.14	09:20:00	4419.2	4422.4	4414.2	4419.2	1058	0	2
2022.02.14	09:40:00	4418.9	4433.4	4417.9	4425.8	1106	0	2
2022.02.14	10:00:00	4425.4	4426.9	4404.2	4407.0	2346	0	1
2022.02.14	10:20:00	4407.0	4407.0	4378.4	4378.6	2934	0	1
2022.02.14	10:40:00	4378.9	4391.5	4371.8	4375.6	2777	0	0
2022.02.14	11:00:00	4375.1	4381.6	4366.2	4378.9	2501	0	0
2022.02.14	11:20:00	4379.0	4387.2	4374.5	4375.2	2184	0	0
2022.02.14	11:40:00	4375.2	4377.3	4368.7	4371.1	1836	0	0
2022.02.14	12:00:00	4371.3	4379.4	4360.0	4374.8	1917	0	0
