<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.08.01	01:00:00	7233.8	7284.3	7233.8	7275.8	688	0	9
2018.08.01	01:30:00	7275.6	7278.3	7245.8	7246.3	1003	0	6
2018.08.01	02:00:00	7246.6	7255.1	7238.8	7254.1	901	0	9
2018.08.01	02:30:00	7254.3	7264.6	7251.6	7263.3	637	0	7
2018.08.01	03:00:00	7264.1	7266.3	7254.1	7258.6	857	0	9
2018.08.01	03:30:00	7259.1	7261.1	7253.3	7254.8	620	0	9
2018.08.01	04:00:00	7254.8	7255.8	7243.3	7253.1	1036	0	9
2018.08.01	04:30:00	7252.8	7261.6	7246.8	7251.1	1502	0	9
2018.08.01	05:00:00	7251.3	7255.3	7246.8	7251.1	739	0	9
2018.08.01	05:30:00	7251.3	7254.1	7247.1	7249.1	734	0	9
2018.08.01	06:00:00	7249.3	7256.1	7248.1	7250.8	688	0	9
2018.08.01	06:30:00	7251.1	7254.1	7250.8	7251.1	464	0	9
2018.08.01	07:00:00	7251.3	7257.1	7250.3	7254.8	376	0	7
2018.08.01	07:30:00	7255.1	7258.3	7252.8	7257.1	434	0	9
2018.08.01	08:00:00	7257.1	7258.8	7254.8	7258.1	576	0	9
2018.08.01	08:30:00	7258.1	7258.3	7252.6	7255.6	706	0	9
2018.08.01	09:00:00	7255.8	7270.1	7255.8	7263.1	1139	0	9
2018.08.01	09:30:00	7263.1	7265.1	7258.8	7262.1	1107	0	9
2018.08.01	10:00:00	7262.6	7264.8	7246.3	7247.6	1683	0	9
2018.08.01	10:30:00	7247.3	7257.6	7244.8	7254.1	1264	0	9
2018.08.01	11:00:00	7254.1	7257.8	7247.8	7251.8	1321	0	9
2018.08.01	11:30:00	7251.8	7254.3	7248.8	7251.6	1002	0	9
2018.08.01	12:00:00	7251.3	7254.1	7246.1	7246.6	1022	0	9
2018.08.01	12:30:00	7246.8	7251.3	7244.6	7247.8	818	0	9
2018.08.01	13:00:00	7248.1	7256.8	7245.8	7255.3	923	0	5
2018.08.01	13:30:00	7255.6	7256.3	7245.8	7247.1	949	0	9
2018.08.01	14:00:00	7247.3	7249.3	7245.3	7248.8	822	0	5
2018.08.01	14:30:00	7248.8	7257.1	7248.8	7255.3	953	0	9
2018.08.01	15:00:00	7255.6	7258.6	7249.1	7254.8	1217	0	6
2018.08.01	15:30:00	7254.8	7258.3	7249.6	7257.6	1635	0	9
2018.08.01	16:00:00	7257.6	7265.6	7257.1	7261.6	1515	0	9
2018.08.01	16:30:00	7261.8	7278.6	7243.3	7275.3	7885	0	6
2018.08.01	17:00:00	7273.6	7294.3	7263.1	7289.1	6033	0	5
2018.08.01	17:30:00	7289.1	7293.3	7276.1	7278.8	4953	0	7
2018.08.01	18:00:00	7279.1	7282.8	7268.1	7273.3	4217	0	5
2018.08.01	18:30:00	7273.3	7273.6	7246.8	7252.8	4831	0	5
2018.08.01	19:00:00	7253.1	7264.6	7243.1	7249.6	4749	0	6
2018.08.01	19:30:00	7249.3	7263.3	7243.8	7258.1	3453	0	7
2018.08.01	20:00:00	7258.1	7263.1	7253.1	7253.3	2592	0	8
2018.08.01	20:30:00	7253.6	7261.3	7247.8	7250.6	2428	0	5
2018.08.01	21:00:00	7251.6	7269.3	7231.6	7268.3	5302	0	5
2018.08.01	21:30:00	7268.1	7273.3	7253.6	7262.8	3772	0	7
2018.08.01	22:00:00	7262.8	7270.3	7257.6	7269.6	3030	0	9
2018.08.01	22:30:00	7269.6	7277.8	7268.1	7272.3	2895	0	6
2018.08.02	01:00:00	7272.3	7282.2	7272.3	7280.5	367	0	6
2018.08.02	01:30:00	7280.7	7281.0	7276.2	7278.2	295	0	9
2018.08.02	02:00:00	7278.2	7280.7	7275.5	7276.5	286	0	9
2018.08.02	02:30:00	7276.5	7279.5	7275.5	7278.7	202	0	9
2018.08.02	03:00:00	7278.5	7281.7	7276.0	7280.7	457	0	8
2018.08.02	03:30:00	7280.7	7284.0	7278.2	7281.0	613	0	5
2018.08.02	04:00:00	7281.2	7282.5	7279.0	7281.0	616	0	9
2018.08.02	04:30:00	7281.2	7282.2	7270.7	7271.7	1379	0	9
2018.08.02	05:00:00	7271.7	7276.2	7268.2	7271.7	865	0	9
2018.08.02	05:30:00	7271.5	7273.0	7265.0	7267.5	873	0	9
2018.08.02	06:00:00	7267.5	7267.5	7261.0	7263.0	683	0	9
2018.08.02	06:30:00	7262.7	7263.0	7250.7	7252.5	1213	0	9
2018.08.02	07:00:00	7252.5	7256.0	7242.2	7244.2	764	0	9
2018.08.02	07:30:00	7244.2	7256.2	7243.2	7253.7	694	0	9
2018.08.02	08:00:00	7253.7	7257.2	7246.2	7249.2	1304	0	9
2018.08.02	08:30:00	7249.0	7258.0	7247.0	7253.0	1285	0	6
2018.08.02	09:00:00	7252.7	7253.5	7241.7	7246.7	1028	0	5
2018.08.02	09:30:00	7246.7	7252.0	7237.0	7241.5	972	0	6
2018.08.02	10:00:00	7241.5	7244.0	7230.2	7237.5	2376	0	5
2018.08.02	10:30:00	7238.0	7239.2	7228.0	7232.5	1661	0	5
2018.08.02	11:00:00	7232.7	7239.2	7227.2	7234.2	1325	0	9
2018.08.02	11:30:00	7234.2	7236.2	7226.2	7227.2	1365	0	6
2018.08.02	12:00:00	7227.5	7227.7	7214.5	7217.5	1495	0	5
2018.08.02	12:30:00	7217.2	7217.7	7206.5	7214.7	1947	0	6
2018.08.02	13:00:00	7214.5	7218.7	7207.5	7214.5	1304	0	7
2018.08.02	13:30:00	7214.5	7215.7	7207.2	7214.2	1168	0	6
2018.08.02	14:00:00	7214.2	7218.0	7210.5	7215.7	1653	0	5
2018.08.02	14:30:00	7215.7	7218.2	7211.2	7212.2	1039	0	9
2018.08.02	15:00:00	7212.0	7216.7	7205.0	7215.7	1459	0	9
2018.08.02	15:30:00	7215.7	7223.0	7214.7	7217.0	1005	0	9
2018.08.02	16:00:00	7217.0	7220.5	7210.0	7218.5	986	0	9
2018.08.02	16:30:00	7218.7	7259.0	7215.5	7255.2	6894	0	5
2018.08.02	17:00:00	7255.7	7290.2	7255.2	7286.7	5214	0	5
2018.08.02	17:30:00	7286.5	7303.0	7281.5	7283.5	4864	0	5
2018.08.02	18:00:00	7283.2	7308.2	7274.5	7305.0	4627	0	6
2018.08.02	18:30:00	7305.2	7330.0	7305.2	7319.7	4606	0	6
2018.08.02	19:00:00	7319.7	7348.7	7311.7	7344.5	3996	0	5
2018.08.02	19:30:00	7344.5	7350.3	7337.8	7341.0	3956	0	6
2018.08.02	20:00:00	7341.3	7364.3	7341.3	7362.5	3594	0	5
2018.08.02	20:30:00	7362.8	7373.3	7361.8	7368.5	3745	0	7
2018.08.02	21:00:00	7368.5	7376.0	7359.8	7362.0	3419	0	7
2018.08.02	21:30:00	7362.8	7369.0	7359.8	7366.3	2443	0	6
2018.08.02	22:00:00	7366.3	7371.5	7358.8	7367.5	2701	0	6
2018.08.02	22:30:00	7367.3	7379.8	7365.3	7371.0	2806	0	6
2018.08.03	01:00:00	7371.0	7381.5	7371.0	7376.7	280	0	9
2018.08.03	01:30:00	7377.0	7383.5	7375.5	7377.7	260	0	9
2018.08.03	02:00:00	7378.0	7379.5	7377.0	7377.5	142	0	9
2018.08.03	02:30:00	7377.2	7379.7	7376.0	7379.0	201	0	9
2018.08.03	03:00:00	7379.2	7383.2	7375.5	7378.7	760	0	9
2018.08.03	03:30:00	7379.0	7382.5	7377.7	7379.7	542	0	9
2018.08.03	04:00:00	7380.0	7381.7	7377.5	7379.0	810	0	9
2018.08.03	04:30:00	7379.2	7382.2	7371.7	7379.2	1673	0	9
2018.08.03	05:00:00	7379.0	7379.0	7374.0	7376.0	1077	0	9
2018.08.03	05:30:00	7376.2	7376.2	7371.0	7371.7	886	0	9
2018.08.03	06:00:00	7371.5	7377.5	7371.2	7374.0	830	0	9
2018.08.03	06:30:00	7374.5	7377.5	7374.2	7375.5	518	0	9
2018.08.03	07:00:00	7375.5	7378.7	7375.5	7377.0	298	0	9
2018.08.03	07:30:00	7377.0	7378.5	7374.2	7376.7	312	0	9
2018.08.03	08:00:00	7376.5	7377.2	7373.2	7373.7	561	0	6
2018.08.03	08:30:00	7373.5	7377.7	7373.5	7377.7	601	0	9
2018.08.03	09:00:00	7377.7	7380.7	7376.0	7379.7	824	0	9
2018.08.03	09:30:00	7379.7	7381.0	7374.7	7375.7	720	0	9
2018.08.03	10:00:00	7376.0	7376.7	7369.8	7372.7	1565	0	8
2018.08.03	10:30:00	7372.5	7377.7	7372.2	7375.0	992	0	9
2018.08.03	11:00:00	7375.5	7377.5	7370.5	7376.7	1172	0	9
2018.08.03	11:30:00	7376.7	7376.7	7373.5	7375.5	879	0	9
2018.08.03	12:00:00	7375.2	7376.7	7374.0	7376.7	653	0	9
2018.08.03	12:30:00	7377.0	7382.7	7376.7	7382.5	651	0	6
2018.08.03	13:00:00	7382.7	7388.7	7381.0	7382.7	694	0	9
2018.08.03	13:30:00	7382.7	7384.7	7380.0	7383.0	468	0	9
2018.08.03	14:00:00	7382.7	7398.5	7382.2	7397.5	1213	0	9
2018.08.03	14:30:00	7397.2	7405.0	7396.7	7398.2	1281	0	5
2018.08.03	15:00:00	7398.5	7401.5	7380.5	7384.4	2196	0	6
2018.08.03	15:30:00	7383.5	7390.5	7372.7	7375.0	2216	0	5
2018.08.03	16:00:00	7374.7	7390.0	7372.7	7380.7	1525	0	5
2018.08.03	16:30:00	7381.2	7389.7	7352.7	7366.7	8219	0	5
2018.08.03	17:00:00	7366.7	7393.5	7363.7	7390.5	7058	0	5
2018.08.03	17:30:00	7390.2	7391.5	7364.8	7369.5	5568	0	6
2018.08.03	18:00:00	7369.7	7382.2	7362.7	7375.5	4853	0	6
2018.08.03	18:30:00	7375.6	7376.0	7359.0	7359.0	4792	0	5
2018.08.03	19:00:00	7359.5	7377.7	7359.2	7375.5	3804	0	5
2018.08.03	19:30:00	7375.0	7380.7	7368.7	7375.5	2579	0	5
2018.08.03	20:00:00	7375.5	7383.5	7373.7	7376.0	2261	0	9
2018.08.03	20:30:00	7376.0	7387.5	7371.0	7385.7	2134	0	5
2018.08.03	21:00:00	7385.5	7387.5	7378.8	7383.5	1910	0	8
2018.08.03	21:30:00	7383.2	7385.2	7377.2	7383.0	1894	0	9
2018.08.03	22:00:00	7383.2	7390.0	7381.2	7383.0	2222	0	5
2018.08.03	22:30:00	7383.0	7392.7	7381.7	7392.7	2701	0	9
2018.08.06	01:00:00	7394.9	7405.7	7394.1	7400.7	563	0	5
2018.08.06	01:30:00	7400.2	7400.7	7393.7	7394.7	245	0	9
2018.08.06	02:00:00	7395.0	7399.7	7395.0	7398.7	229	0	9
2018.08.06	02:30:00	7398.7	7398.7	7394.0	7395.0	221	0	9
2018.08.06	03:00:00	7395.0	7403.0	7394.2	7399.7	472	0	9
2018.08.06	03:30:00	7399.5	7400.0	7396.2	7398.0	370	0	9
2018.08.06	04:00:00	7397.7	7403.0	7397.2	7399.7	628	0	9
2018.08.06	04:30:00	7399.7	7411.2	7397.0	7410.0	1510	0	6
2018.08.06	05:00:00	7410.5	7413.5	7407.5	7412.0	756	0	9
2018.08.06	05:30:00	7411.7	7414.5	7407.7	7408.7	573	0	9
2018.08.06	06:00:00	7408.2	7410.2	7404.7	7406.0	458	0	9
2018.08.06	06:30:00	7406.0	7406.5	7403.2	7405.0	500	0	9
2018.08.06	07:00:00	7404.7	7405.0	7400.7	7403.0	219	0	9
2018.08.06	07:30:00	7403.2	7406.0	7402.7	7404.2	204	0	9
2018.08.06	08:00:00	7404.2	7406.2	7400.3	7403.0	777	0	9
2018.08.06	08:30:00	7402.5	7403.5	7399.7	7401.2	473	0	6
2018.08.06	09:00:00	7401.0	7401.7	7399.2	7399.7	473	0	7
2018.08.06	09:30:00	7399.7	7402.2	7397.7	7400.5	525	0	9
2018.08.06	10:00:00	7400.7	7403.5	7397.2	7400.2	1208	0	9
2018.08.06	10:30:00	7400.2	7400.2	7393.0	7394.5	1170	0	9
2018.08.06	11:00:00	7394.2	7396.0	7391.5	7393.5	911	0	9
2018.08.06	11:30:00	7393.7	7396.5	7386.2	7387.0	917	0	9
2018.08.06	12:00:00	7387.0	7391.7	7384.5	7391.5	794	0	9
2018.08.06	12:30:00	7391.7	7403.0	7390.2	7401.2	1242	0	9
2018.08.06	13:00:00	7401.5	7404.2	7397.0	7404.2	942	0	9
2018.08.06	13:30:00	7404.0	7408.0	7402.2	7405.2	1156	0	9
2018.08.06	14:00:00	7405.0	7407.5	7401.2	7402.5	901	0	9
2018.08.06	14:30:00	7402.2	7404.0	7397.0	7397.2	985	0	9
2018.08.06	15:00:00	7397.2	7399.7	7393.5	7393.7	989	0	9
2018.08.06	15:30:00	7393.7	7395.5	7385.2	7388.0	835	0	9
2018.08.06	16:00:00	7388.2	7391.0	7384.2	7388.2	724	0	9
2018.08.06	16:30:00	7388.0	7403.7	7378.2	7401.2	6483	0	6
2018.08.06	17:00:00	7401.5	7413.5	7387.0	7395.0	4227	0	6
2018.08.06	17:30:00	7394.7	7402.0	7391.7	7398.0	4524	0	6
2018.08.06	18:00:00	7398.0	7404.0	7388.7	7399.7	3220	0	5
2018.08.06	18:30:00	7400.0	7412.2	7399.0	7410.5	2459	0	5
2018.08.06	19:00:00	7410.2	7425.5	7409.5	7417.7	2482	0	6
2018.08.06	19:30:00	7417.5	7428.0	7417.5	7428.0	1929	0	6
