<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.04.11	01:00:00	1307.92	1308.46	1307.70	1308.03	775	0	12
2019.04.11	02:00:00	1308.02	1309.15	1307.95	1308.04	570	0	16
2019.04.11	03:00:00	1308.07	1308.27	1306.96	1307.71	1289	0	15
2019.04.11	04:00:00	1307.72	1308.28	1306.57	1306.95	1339	0	16
2019.04.11	05:00:00	1306.95	1307.10	1306.28	1306.68	872	0	16
2019.04.11	06:00:00	1306.68	1306.71	1306.21	1306.61	497	0	15
2019.04.11	07:00:00	1306.61	1307.17	1306.02	1307.13	361	0	13
2019.04.11	08:00:00	1307.13	1308.13	1306.82	1307.83	556	0	15
2019.04.11	09:00:00	1307.83	1308.22	1306.21	1306.54	1261	0	14
2019.04.11	10:00:00	1306.54	1306.55	1304.63	1305.22	2011	0	13
2019.04.11	11:00:00	1305.22	1305.22	1303.64	1304.68	1618	0	12
2019.04.11	12:00:00	1304.68	1304.73	1303.88	1304.59	846	0	16
2019.04.11	13:00:00	1304.59	1305.17	1303.77	1304.79	906	0	17
2019.04.11	14:00:00	1304.79	1304.79	1300.71	1300.92	2337	0	11
2019.04.11	15:00:00	1300.90	1301.00	1294.81	1295.41	4226	0	11
2019.04.11	16:00:00	1295.41	1299.61	1294.72	1298.61	4644	0	12
2019.04.11	17:00:00	1298.61	1299.18	1295.94	1296.44	3850	0	12
2019.04.11	18:00:00	1296.44	1296.54	1293.20	1294.89	3494	0	13
2019.04.11	19:00:00	1294.89	1295.00	1292.21	1292.81	2038	0	14
2019.04.11	20:00:00	1292.81	1293.77	1289.55	1290.82	2859	0	14
2019.04.11	21:00:00	1290.82	1291.51	1290.15	1290.19	1722	0	15
2019.04.11	22:00:00	1290.10	1292.05	1290.10	1291.38	1550	0	12
2019.04.11	23:00:00	1291.36	1292.77	1291.36	1292.31	1092	0	12
2019.04.12	01:00:00	1292.52	1292.95	1291.17	1292.05	796	0	11
2019.04.12	02:00:00	1292.05	1292.57	1291.82	1292.18	523	0	16
2019.04.12	03:00:00	1292.10	1293.69	1291.97	1293.31	1482	0	15
2019.04.12	04:00:00	1293.30	1293.95	1292.80	1293.34	1137	0	11
2019.04.12	05:00:00	1293.33	1293.95	1292.91	1293.23	952	0	16
2019.04.12	06:00:00	1293.23	1293.23	1291.12	1291.88	1003	0	16
2019.04.12	07:00:00	1291.88	1292.83	1291.79	1292.82	438	0	13
2019.04.12	08:00:00	1292.82	1293.63	1292.21	1293.53	524	0	17
2019.04.12	09:00:00	1293.53	1294.31	1292.58	1293.16	1592	0	15
2019.04.12	10:00:00	1293.23	1293.62	1291.36	1292.19	1329	0	13
2019.04.12	11:00:00	1292.19	1293.76	1292.07	1293.56	2231	0	14
2019.04.12	12:00:00	1293.56	1295.78	1293.06	1294.66	2175	0	14
2019.04.12	13:00:00	1294.66	1294.91	1293.41	1294.41	1792	0	15
2019.04.12	14:00:00	1294.41	1294.62	1292.41	1292.43	1641	0	11
2019.04.12	15:00:00	1292.45	1294.27	1290.50	1291.76	3016	0	11
2019.04.12	16:00:00	1291.76	1292.95	1291.00	1292.77	2710	0	11
2019.04.12	17:00:00	1292.62	1295.18	1292.27	1292.76	3382	0	12
2019.04.12	18:00:00	1292.82	1293.03	1291.16	1291.35	2540	0	11
2019.04.12	19:00:00	1291.30	1292.00	1290.66	1291.96	1771	0	11
2019.04.12	20:00:00	1291.96	1292.47	1291.25	1291.37	1490	0	11
2019.04.12	21:00:00	1291.37	1291.58	1290.93	1290.94	898	0	15
2019.04.12	22:00:00	1290.93	1291.24	1290.03	1290.23	1079	0	13
2019.04.12	23:00:00	1290.23	1291.55	1290.23	1290.44	690	0	14
2019.04.15	01:00:00	1290.99	1291.91	1290.80	1291.20	495	0	15
2019.04.15	02:00:00	1291.20	1291.22	1289.29	1289.70	684	0	15
2019.04.15	03:00:00	1289.70	1290.25	1288.68	1290.25	1594	0	14
2019.04.15	04:00:00	1290.26	1290.36	1286.87	1287.83	2371	0	15
2019.04.15	05:00:00	1287.83	1288.48	1287.24	1288.47	1366	0	13
2019.04.15	06:00:00	1288.47	1289.15	1287.80	1289.12	967	0	15
2019.04.15	07:00:00	1289.12	1289.46	1288.85	1289.23	617	0	17
2019.04.15	08:00:00	1289.23	1289.33	1287.84	1288.05	649	0	13
2019.04.15	09:00:00	1288.04	1288.67	1286.91	1287.07	1098	0	12
2019.04.15	10:00:00	1287.07	1287.82	1286.63	1286.94	1190	0	11
2019.04.15	11:00:00	1286.94	1287.67	1285.87	1286.40	1265	0	14
2019.04.15	12:00:00	1286.40	1287.27	1285.57	1285.69	1152	0	15
2019.04.15	13:00:00	1285.69	1287.13	1285.51	1286.41	944	0	16
2019.04.15	14:00:00	1286.41	1286.94	1284.91	1285.72	817	0	11
2019.04.15	15:00:00	1285.72	1288.77	1283.53	1285.02	2878	0	13
2019.04.15	16:00:00	1285.02	1285.12	1282.45	1284.85	2364	0	14
2019.04.15	17:00:00	1284.81	1287.73	1284.74	1287.23	2678	0	13
2019.04.15	18:00:00	1287.22	1289.41	1287.01	1288.62	2327	0	15
2019.04.15	19:00:00	1288.62	1290.11	1288.49	1289.42	1599	0	13
2019.04.15	20:00:00	1289.42	1289.70	1287.80	1288.24	1603	0	15
2019.04.15	21:00:00	1288.22	1288.44	1287.74	1287.88	843	0	14
2019.04.15	22:00:00	1287.88	1288.26	1287.64	1287.84	628	0	13
2019.04.15	23:00:00	1287.84	1288.05	1287.44	1287.56	710	0	15
2019.04.16	01:00:00	1287.72	1288.26	1287.52	1287.86	382	0	15
2019.04.16	02:00:00	1287.86	1288.74	1287.80	1288.34	626	0	15
2019.04.16	03:00:00	1288.34	1288.34	1286.49	1287.23	1351	0	15
2019.04.16	04:00:00	1287.22	1287.27	1285.50	1285.60	1162	0	13
2019.04.16	05:00:00	1285.60	1286.51	1285.25	1285.38	964	0	16
2019.04.16	06:00:00	1285.38	1285.60	1284.70	1285.20	1186	0	16
2019.04.16	07:00:00	1285.20	1285.55	1284.82	1284.84	530	0	15
2019.04.16	08:00:00	1284.84	1285.35	1283.68	1284.33	1172	0	16
2019.04.16	09:00:00	1284.33	1286.80	1284.04	1286.55	1633	0	12
2019.04.16	10:00:00	1286.55	1287.42	1284.68	1284.82	2209	0	15
2019.04.16	11:00:00	1284.82	1285.38	1284.17	1284.41	1226	0	11
2019.04.16	12:00:00	1284.37	1284.68	1282.41	1283.61	2317	0	13
2019.04.16	13:00:00	1283.61	1283.98	1283.01	1283.88	915	0	13
2019.04.16	14:00:00	1283.88	1285.03	1282.81	1284.64	1306	0	16
2019.04.16	15:00:00	1284.64	1284.84	1278.24	1279.08	3690	0	11
2019.04.16	16:00:00	1279.08	1279.56	1273.27	1276.28	5147	0	11
2019.04.16	17:00:00	1276.28	1276.79	1273.88	1276.60	2875	0	11
2019.04.16	18:00:00	1276.60	1277.61	1274.18	1275.64	2916	0	15
2019.04.16	19:00:00	1275.64	1275.73	1272.91	1273.99	1838	0	12
2019.04.16	20:00:00	1273.99	1275.28	1273.76	1275.07	1382	0	15
2019.04.16	21:00:00	1275.14	1276.62	1275.01	1276.24	1091	0	13
2019.04.16	22:00:00	1276.24	1276.99	1275.75	1276.39	869	0	12
2019.04.16	23:00:00	1276.39	1276.95	1275.90	1276.61	899	0	16
2019.04.17	01:00:00	1276.63	1277.22	1275.90	1276.58	653	0	13
2019.04.17	02:00:00	1276.57	1277.13	1276.18	1276.59	755	0	14
2019.04.17	03:00:00	1276.59	1276.80	1274.79	1276.34	1381	0	16
2019.04.17	04:00:00	1276.33	1277.57	1275.42	1277.53	1390	0	14
2019.04.17	05:00:00	1277.55	1277.97	1276.79	1277.08	1687	0	11
2019.04.17	06:00:00	1277.09	1277.09	1276.22	1276.74	845	0	13
2019.04.17	07:00:00	1276.74	1277.69	1276.74	1277.56	555	0	12
2019.04.17	08:00:00	1277.56	1278.80	1277.15	1278.78	741	0	13
2019.04.17	09:00:00	1278.77	1279.73	1277.79	1278.53	2041	0	14
2019.04.17	10:00:00	1278.49	1279.35	1277.67	1278.90	1852	0	14
2019.04.17	11:00:00	1278.83	1279.33	1275.65	1276.37	1968	0	13
2019.04.17	12:00:00	1276.37	1276.90	1274.57	1275.36	1941	0	15
2019.04.17	13:00:00	1275.36	1276.91	1275.12	1276.55	1051	0	15
2019.04.17	14:00:00	1276.61	1276.66	1275.55	1275.63	1170	0	11
2019.04.17	15:00:00	1275.63	1277.85	1275.11	1276.12	2079	0	11
2019.04.17	16:00:00	1276.11	1276.67	1274.62	1276.00	2923	0	12
2019.04.17	17:00:00	1276.00	1276.00	1273.15	1273.66	3430	0	13
2019.04.17	18:00:00	1273.66	1274.96	1273.36	1274.15	1607	0	15
2019.04.17	19:00:00	1274.13	1274.49	1272.95	1273.17	2015	0	12
2019.04.17	20:00:00	1273.26	1274.65	1273.26	1274.44	787	0	13
2019.04.17	21:00:00	1274.44	1274.53	1273.71	1273.95	787	0	14
2019.04.17	22:00:00	1274.01	1274.37	1273.54	1274.16	763	0	11
2019.04.17	23:00:00	1274.16	1274.53	1273.34	1273.49	776	0	12
2019.04.18	01:00:00	1273.18	1274.47	1273.18	1274.23	463	0	12
2019.04.18	02:00:00	1274.23	1274.55	1273.69	1274.13	622	0	14
2019.04.18	03:00:00	1274.13	1274.79	1273.91	1274.35	997	0	17
2019.04.18	04:00:00	1274.37	1274.40	1271.85	1272.16	1613	0	12
2019.04.18	05:00:00	1272.16	1272.33	1271.56	1272.28	1270	0	15
2019.04.18	06:00:00	1272.28	1272.61	1271.85	1272.55	878	0	11
2019.04.18	07:00:00	1272.55	1272.57	1271.49	1272.06	518	0	16
2019.04.18	08:00:00	1272.05	1272.49	1271.70	1272.25	679	0	15
2019.04.18	09:00:00	1272.25	1272.44	1271.11	1271.79	1492	0	13
2019.04.18	10:00:00	1271.70	1276.14	1271.22	1275.23	2405	0	11
2019.04.18	11:00:00	1275.22	1276.10	1274.47	1275.83	1718	0	11
2019.04.18	12:00:00	1275.83	1277.67	1275.10	1275.60	1681	0	14
2019.04.18	13:00:00	1275.60	1275.89	1274.59	1275.48	1396	0	15
2019.04.18	14:00:00	1275.39	1276.95	1274.84	1276.33	1134	0	13
2019.04.18	15:00:00	1276.28	1276.91	1272.68	1273.70	3074	0	12
2019.04.18	16:00:00	1273.68	1276.66	1272.88	1275.66	3075	0	13
2019.04.18	17:00:00	1275.66	1276.15	1274.45	1275.75	2202	0	11
2019.04.18	18:00:00	1275.75	1275.87	1273.46	1273.78	1681	0	14
2019.04.18	19:00:00	1273.78	1274.07	1272.50	1273.51	1868	0	14
2019.04.18	20:00:00	1273.51	1274.61	1272.82	1274.53	1046	0	12
2019.04.18	21:00:00	1274.51	1274.51	1273.81	1274.00	573	0	13
2019.04.18	22:00:00	1274.00	1275.10	1273.91	1275.10	697	0	12
2019.04.18	23:00:00	1275.10	1275.64	1274.79	1275.50	506	0	14
2019.04.22	01:00:00	1275.66	1276.52	1275.38	1276.37	638	0	15
2019.04.22	02:00:00	1276.37	1277.16	1275.93	1276.75	650	0	14
2019.04.22	03:00:00	1276.75	1277.34	1275.34	1275.97	992	0	18
2019.04.22	04:00:00	1275.98	1278.13	1275.57	1278.13	1431	0	12
2019.04.22	05:00:00	1278.03	1278.84	1277.75	1278.53	881	0	14
2019.04.22	06:00:00	1278.53	1279.75	1278.21	1278.30	1163	0	16
2019.04.22	07:00:00	1278.30	1279.38	1278.21	1279.17	712	0	15
2019.04.22	08:00:00	1279.18	1279.41	1278.08	1278.61	624	0	16
2019.04.22	09:00:00	1278.60	1279.20	1277.00	1277.34	1079	0	13
2019.04.22	10:00:00	1277.38	1278.87	1276.41	1278.54	907	0	11
2019.04.22	11:00:00	1278.54	1278.97	1277.88	1278.97	716	0	15
2019.04.22	12:00:00	1278.97	1279.50	1278.72	1279.29	622	0	14
2019.04.22	13:00:00	1279.24	1279.79	1278.79	1279.61	436	0	13
2019.04.22	14:00:00	1279.61	1279.61	1277.93	1278.23	766	0	14
2019.04.22	15:00:00	1278.23	1279.53	1276.51	1276.81	1213	0	11
2019.04.22	16:00:00	1276.81	1277.61	1274.72	1275.08	1983	0	12
2019.04.22	17:00:00	1275.09	1276.33	1274.42	1275.28	1542	0	11
2019.04.22	18:00:00	1275.28	1275.72	1273.81	1274.27	1252	0	13
2019.04.22	19:00:00	1274.29	1274.85	1273.76	1274.24	1097	0	16
2019.04.22	20:00:00	1274.25	1275.88	1274.22	1275.43	1215	0	15
2019.04.22	21:00:00	1275.43	1275.69	1274.50	1275.21	783	0	15
2019.04.22	22:00:00	1275.21	1275.39	1274.54	1274.85	750	0	11
2019.04.22	23:00:00	1274.85	1275.10	1274.00	1274.69	345	0	13
2019.04.23	01:00:00	1275.12	1275.43	1274.83	1274.96	364	0	17
2019.04.23	02:00:00	1274.97	1275.13	1274.25	1274.60	496	0	16
2019.04.23	03:00:00	1274.60	1275.71	1273.54	1275.70	958	0	12
2019.04.23	04:00:00	1275.70	1276.46	1275.00	1275.51	1255	0	14
2019.04.23	05:00:00	1275.51	1275.65	1274.67	1275.08	922	0	11
2019.04.23	06:00:00	1275.01	1275.82	1275.01	1275.17	487	0	14
2019.04.23	07:00:00	1275.17	1275.45	1274.35	1274.47	495	0	17
2019.04.23	08:00:00	1274.47	1274.97	1272.91	1273.02	791	0	13
2019.04.23	09:00:00	1273.01	1273.13	1272.03	1272.63	1272	0	11
2019.04.23	10:00:00	1272.63	1274.36	1272.32	1273.66	1445	0	12
2019.04.23	11:00:00	1273.66	1274.37	1273.25	1273.25	1143	0	14
2019.04.23	12:00:00	1273.25	1273.94	1273.13	1273.27	837	0	16
2019.04.23	13:00:00	1273.25	1273.49	1272.60	1273.12	775	0	14
2019.04.23	14:00:00	1273.12	1273.12	1271.39	1272.05	1365	0	14
2019.04.23	15:00:00	1272.05	1273.82	1267.35	1267.74	3905	0	12
2019.04.23	16:00:00	1267.64	1270.20	1266.71	1269.85	3322	0	11
2019.04.23	17:00:00	1269.95	1269.95	1266.23	1269.08	3205	0	12
2019.04.23	18:00:00	1269.04	1272.41	1268.41	1271.55	1861	0	12
2019.04.23	19:00:00	1271.57	1272.91	1270.85	1272.64	1696	0	13
2019.04.23	20:00:00	1272.64	1273.07	1270.94	1271.74	1513	0	12
2019.04.23	21:00:00	1271.76	1271.77	1270.28	1270.71	1156	0	15
2019.04.23	22:00:00	1270.62	1272.05	1270.55	1272.02	977	0	13
2019.04.23	23:00:00	1272.02	1272.48	1271.84	1272.11	510	0	14
2019.04.24	01:00:00	1272.09	1272.28	1271.44	1271.53	415	0	12
2019.04.24	02:00:00	1271.53	1271.99	1271.27	1271.38	597	0	17
2019.04.24	03:00:00	1271.38	1272.08	1270.48	1270.50	844	0	15
2019.04.24	04:00:00	1270.50	1271.23	1269.61	1270.59	1522	0	16
2019.04.24	05:00:00	1270.53	1270.93	1269.63	1269.73	1262	0	14
2019.04.24	06:00:00	1269.73	1269.85	1268.74	1269.64	1291	0	16
2019.04.24	07:00:00	1269.64	1270.17	1269.22	1269.92	647	0	16
2019.04.24	08:00:00	1269.92	1270.68	1269.39	1269.81	726	0	16
2019.04.24	09:00:00	1269.81	1270.80	1269.48	1270.32	1044	0	14
2019.04.24	10:00:00	1270.32	1272.40	1269.52	1272.32	1447	0	15
2019.04.24	11:00:00	1272.32	1273.90	1271.77	1273.57	1537	0	13
2019.04.24	12:00:00	1273.57	1273.87	1273.17	1273.17	762	0	16
2019.04.24	13:00:00	1273.17	1273.46	1271.26	1271.36	847	0	13
2019.04.24	14:00:00	1271.36	1274.12	1271.26	1273.89	1114	0	11
2019.04.24	15:00:00	1273.93	1273.97	1270.26	1270.88	2695	0	13
2019.04.24	16:00:00	1270.88	1272.92	1270.08	1272.52	2407	0	13
2019.04.24	17:00:00	1272.52	1274.81	1271.49	1274.09	3262	0	14
2019.04.24	18:00:00	1274.09	1278.51	1273.65	1277.23	2889	0	12
2019.04.24	19:00:00	1277.23	1277.55	1275.55	1275.74	2075	0	14
2019.04.24	20:00:00	1275.74	1277.41	1275.65	1277.12	1984	0	13
2019.04.24	21:00:00	1277.12	1277.21	1274.83	1275.14	1878	0	15
2019.04.24	22:00:00	1275.13	1276.40	1275.03	1275.79	1068	0	11
2019.04.24	23:00:00	1275.79	1275.91	1275.31	1275.41	804	0	14
2019.04.25	01:00:00	1275.45	1276.31	1274.49	1274.79	447	0	12
2019.04.25	02:00:00	1274.79	1274.95	1273.81	1274.66	616	0	11
2019.04.25	03:00:00	1274.66	1274.77	1273.33	1274.46	1235	0	14
2019.04.25	04:00:00	1274.48	1275.17	1273.57	1274.59	1429	0	15
2019.04.25	05:00:00	1274.59	1276.51	1274.55	1276.31	1520	0	16
2019.04.25	06:00:00	1276.31	1276.77	1275.83	1276.33	584	0	16
2019.04.25	07:00:00	1276.33	1276.53	1275.33	1275.61	590	0	15
2019.04.25	08:00:00	1275.61	1276.43	1274.74	1276.21	1064	0	15
2019.04.25	09:00:00	1276.19	1277.04	1275.41	1276.44	1536	0	14
2019.04.25	10:00:00	1276.44	1278.51	1276.14	1277.76	1799	0	11
2019.04.25	11:00:00	1277.76	1277.90	1276.28	1277.11	1654	0	15
2019.04.25	12:00:00	1277.11	1278.06	1276.39	1276.83	1299	0	12
2019.04.25	13:00:00	1276.85	1277.85	1276.70	1276.91	826	0	15
2019.04.25	14:00:00	1276.91	1277.47	1275.76	1276.00	1193	0	14
2019.04.25	15:00:00	1276.00	1278.14	1275.15	1277.17	2939	0	11
2019.04.25	16:00:00	1277.17	1282.57	1276.07	1281.87	3932	0	12
2019.04.25	17:00:00	1281.89	1282.17	1279.63	1279.64	3350	0	12
2019.04.25	18:00:00	1279.73	1280.45	1277.40	1277.97	2886	0	11
2019.04.25	19:00:00	1277.97	1278.59	1276.30	1277.79	1835	0	12
2019.04.25	20:00:00	1277.79	1278.19	1276.89	1277.56	1571	0	14
2019.04.25	21:00:00	1277.56	1277.67	1276.70	1277.17	663	0	14
2019.04.25	22:00:00	1277.16	1277.69	1276.55	1277.27	749	0	15
2019.04.25	23:00:00	1277.25	1277.71	1276.85	1276.92	652	0	14
2019.04.26	01:00:00	1277.03	1278.01	1276.73	1277.97	475	0	15
2019.04.26	02:00:00	1277.97	1278.78	1277.86	1278.61	453	0	12
2019.04.26	03:00:00	1278.61	1279.07	1277.49	1278.09	1869	0	17
2019.04.26	04:00:00	1278.10	1279.79	1277.97	1279.71	1953	0	14
2019.04.26	05:00:00	1279.70	1281.03	1279.19	1280.73	1595	0	16
2019.04.26	06:00:00	1280.73	1280.73	1279.43	1279.62	769	0	15
2019.04.26	07:00:00	1279.62	1280.21	1279.49	1280.07	659	0	15
2019.04.26	08:00:00	1280.08	1280.44	1279.71	1280.06	762	0	16
2019.04.26	09:00:00	1280.05	1282.16	1279.73	1281.85	1500	0	13
2019.04.26	10:00:00	1281.85	1283.22	1281.13	1281.92	1466	0	14
2019.04.26	11:00:00	1281.92	1282.66	1281.62	1282.22	1166	0	13
2019.04.26	12:00:00	1282.16	1282.23	1280.44	1280.54	1202	0	14
2019.04.26	13:00:00	1280.54	1281.17	1279.88	1281.05	978	0	13
2019.04.26	14:00:00	1281.05	1281.37	1280.21	1281.16	1026	0	14
2019.04.26	15:00:00	1281.16	1284.08	1274.12	1282.53	6215	0	11
2019.04.26	16:00:00	1282.53	1286.76	1281.33	1285.66	4669	0	11
2019.04.26	17:00:00	1285.71	1287.75	1284.83	1286.59	4200	0	13
2019.04.26	18:00:00	1286.59	1288.06	1286.49	1287.49	2129	0	11
2019.04.26	19:00:00	1287.49	1288.69	1287.15	1287.93	1646	0	14
2019.04.26	20:00:00	1287.93	1288.34	1285.94	1286.07	1439	0	13
2019.04.26	21:00:00	1286.14	1286.98	1286.13	1286.53	1175	0	17
2019.04.26	22:00:00	1286.55	1286.63	1285.41	1285.41	840	0	13
2019.04.26	23:00:00	1285.45	1286.19	1285.41	1285.90	880	0	15
2019.04.29	01:00:00	1285.56	1286.90	1285.46	1286.02	535	0	12
2019.04.29	02:00:00	1286.02	1286.67	1285.68	1285.82	593	0	11
2019.04.29	03:00:00	1285.82	1286.21	1284.88	1285.12	852	0	16
2019.04.29	04:00:00	1285.12	1285.93	1285.03	1285.54	991	0	16
2019.04.29	05:00:00	1285.54	1286.61	1285.43	1286.49	836	0	16
2019.04.29	06:00:00	1286.50	1286.56	1285.59	1285.91	548	0	17
2019.04.29	07:00:00	1285.91	1285.98	1285.28	1285.30	371	0	15
2019.04.29	08:00:00	1285.30	1285.52	1284.75	1284.75	491	0	15
2019.04.29	09:00:00	1284.75	1285.03	1283.53	1283.54	1234	0	13
2019.04.29	10:00:00	1283.54	1283.60	1281.18	1281.38	2228	0	12
2019.04.29	11:00:00	1281.38	1282.48	1280.82	1282.40	2025	0	15
2019.04.29	12:00:00	1282.39	1283.18	1281.74	1282.37	1103	0	15
2019.04.29	13:00:00	1282.37	1282.81	1280.90	1281.14	1179	0	14
2019.04.29	14:00:00	1281.14	1281.28	1279.85	1281.28	1593	0	12
2019.04.29	15:00:00	1281.28	1284.74	1280.46	1281.57	3064	0	12
2019.04.29	16:00:00	1281.57	1281.67	1278.23	1278.70	3403	0	11
2019.04.29	17:00:00	1278.69	1279.95	1278.03	1279.73	2949	0	15
2019.04.29	18:00:00	1279.73	1279.94	1278.23	1278.44	1532	0	14
2019.04.29	19:00:00	1278.44	1279.57	1278.13	1278.95	1621	0	13
2019.04.29	20:00:00	1278.96	1279.86	1278.85	1279.07	947	0	16
